timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1710372618686,113,/images/icons/arrow-down.png-556,200,OK,Thread Group 1-1,bin,true,,1028,737,1,1,https://mechlintech.stage.clocksession.com/images/icons/arrow-down.png,113,0,0
1710372618800,670,/v2/api/employees/-557,200,OK,Thread Group 1-1,text,true,,69903,850,1,1,https://mechlintech.stage.clocksession.com/v2/api/employees/?items_per_page=1000&activated=true,599,0,0
1710372619471,239,/v2/api/leave-types/-558,200,OK,Thread Group 1-1,text,true,,2911,882,1,1,https://mechlintech.stage.clocksession.com/v2/api/leave-types/?items_per_page=20&page=1&rand=0.5604931837373783&ordering=reason,239,0,0
1710372619710,46,/__debug__/history_sidebar/-559,200,OK,Thread Group 1-1,text,true,,428,714,1,1,https://mechlintech.stage.clocksession.com/__debug__/history_sidebar/?store_id=f3dea7a6690f4937a747dbb9a5e863e5,46,0,0
1710372619756,89,/images/icons/reports.png-560,200,OK,Thread Group 1-1,bin,true,,1281,734,1,1,https://mechlintech.stage.clocksession.com/images/icons/reports.png,89,0,0
1710372619846,135,/images/icons/setting-w.svg-561,200,OK,Thread Group 1-1,text,true,,3264,736,1,1,https://mechlintech.stage.clocksession.com/images/icons/setting-w.svg,135,0,0
1710372619981,80,/images/icons/feedback.png-562,200,OK,Thread Group 1-1,bin,true,,1091,735,1,1,https://mechlintech.stage.clocksession.com/images/icons/feedback.png,80,0,0
1710372620061,48,/__debug__/history_sidebar/-563,200,OK,Thread Group 1-1,text,true,,428,714,1,1,https://mechlintech.stage.clocksession.com/__debug__/history_sidebar/?store_id=dd16280d86a1493f97d6b47f156d0348,48,0,0
1710372620109,46,/__debug__/history_sidebar/-564,200,OK,Thread Group 1-1,text,true,,428,714,1,1,https://mechlintech.stage.clocksession.com/__debug__/history_sidebar/?store_id=480f2d1a802d4b7182d3e92eee6703ed,46,0,0
1710372620155,237,/v2/api/employees/fa7b100d-aaf5-4fc6-ad60-2eedf31536cf/subordinates/-565,200,OK,Thread Group 1-1,text,true,,1014,865,1,1,https://mechlintech.stage.clocksession.com/v2/api/employees/fa7b100d-aaf5-4fc6-ad60-2eedf31536cf/subordinates/,237,0,0
1710372620392,47,/__debug__/history_sidebar/-566,200,OK,Thread Group 1-1,text,true,,428,714,1,1,https://mechlintech.stage.clocksession.com/__debug__/history_sidebar/?store_id=2d5cb6fa440a4ee7990f341e7ca1a510,47,0,0
1710372620439,186,/v2/api/employees/null/-567,200,OK,Thread Group 1-1,text,true,,1593,852,1,1,https://mechlintech.stage.clocksession.com/v2/api/employees/fa7b100d-aaf5-4fc6-ad60-2eedf31536cf/,186,0,0
1710372620625,171,/v2/api/groups/-568,200,OK,Thread Group 1-1,text,true,,1412,832,1,1,https://mechlintech.stage.clocksession.com/v2/api/groups/?items_per_page=1000,171,0,0
1710372620797,388,/v2/api/employees/-569,200,OK,Thread Group 1-1,text,true,,6454,892,1,1,https://mechlintech.stage.clocksession.com/v2/api/employees/?ordering=-id&items_per_page=5&rand=0.03838526317319735&page=1&activated=true,388,0,0
1710372621186,313,/v2/api/employees/-570,200,OK,Thread Group 1-1,text,true,,1789,854,1,1,https://mechlintech.stage.clocksession.com/v2/api/employees/?page=1&items_per_page=1&activated=true,313,0,0
1710372621499,391,/v2/api/employees/-571,200,OK,Thread Group 1-1,text,true,,1792,860,1,1,https://mechlintech.stage.clocksession.com/v2/api/employees/?page=1&items_per_page=1&pending_request=true,391,0,0
1710372621891,406,/v2/api/employees/-572,200,OK,Thread Group 1-1,text,true,,1852,853,1,1,https://mechlintech.stage.clocksession.com/v2/api/employees/?page=1&items_per_page=1&archived=true,406,0,0
1710372622298,215,/v2/api/employees/-573,200,OK,Thread Group 1-1,text,true,,6454,891,1,1,https://mechlintech.stage.clocksession.com/v2/api/employees/?ordering=-id&items_per_page=5&rand=0.7382635149723724&page=1&activated=true,215,0,0
1710372622513,269,/v2/api/screenshots/-574,200,OK,Thread Group 1-1,text,true,,1016,898,1,1,https://mechlintech.stage.clocksession.com/v2/api/screenshots/?ordering=-datetime_of_capture&page=1&date_of_capture=2024-03-13&items_per_page=4,269,0,0
1710372622782,97,/images/icons/leave-w.svg-575,200,OK,Thread Group 1-1,text,true,,5332,734,1,1,https://mechlintech.stage.clocksession.com/images/icons/leave-w.svg,97,0,0
1710372622879,79,/images/icons/payroll.png-576,200,OK,Thread Group 1-1,bin,true,,1150,734,1,1,https://mechlintech.stage.clocksession.com/images/icons/payroll.png,79,0,0
1710372622958,78,/images/icons/add-icon.png-577,200,OK,Thread Group 1-1,bin,true,,1322,735,1,1,https://mechlintech.stage.clocksession.com/images/icons/add-icon.png,78,0,0
